,ElectionDate,PartyCode,PartyName,RaceCode,OfficeDesc,CountyCode,CountyName,Juris1num,Juris2num,Precincts,PrecinctsReporting,CanNameLast,CanNameFirst,CanNameMiddle,CanVotes,election_year,election_type,election_stage,election_type_OG,TotalCanVotes,MaxVotesInRace,Won,RaceVoterPool,TotalCanVotes_County,RaceVoterPool_County
0,11/2/2010,REP,Republican,GOV,Governor,ALA,Alachua,999,999.0,69,69,Scott,Carroll,/,28129,2010,General,general,General,2619335.0,2619335.0,1,5359735,28129.0,73961
1,11/2/2010,REP,Republican,GOV,Governor,BAK,Baker,999,999.0,9,9,Scott,Carroll,/,4940,2010,General,general,General,2619335.0,2619335.0,1,5359735,4940.0,7924
2,11/2/2010,REP,Republican,GOV,Governor,BAY,Bay,999,999.0,54,54,Scott,Carroll,/,36512,2010,General,general,General,2619335.0,2619335.0,1,5359735,36512.0,54997
3,11/2/2010,REP,Republican,GOV,Governor,BRA,Bradford,999,999.0,19,19,Scott,Carroll,/,4850,2010,General,general,General,2619335.0,2619335.0,1,5359735,4850.0,8075
4,11/2/2010,REP,Republican,GOV,Governor,BRE,Brevard,999,999.0,179,179,Scott,Carroll,/,106838,2010,General,general,General,2619335.0,2619335.0,1,5359735,106838.0,196391
5,11/2/2010,REP,Republican,GOV,Governor,BRO,Broward,999,999.0,791,791,Scott,Carroll,/,140445,2010,General,general,General,2619335.0,2619335.0,1,5359735,140445.0,420531
6,11/2/2010,REP,Republican,GOV,Governor,CAL,Calhoun,999,999.0,18,18,Scott,Carroll,/,2201,2010,General,general,General,2619335.0,2619335.0,1,5359735,2201.0,4296
7,11/2/2010,REP,Republican,GOV,Governor,CHA,Charlotte,999,999.0,80,80,Scott,Carroll,/,32207,2010,General,general,General,2619335.0,2619335.0,1,5359735,32207.0,59381
8,11/2/2010,REP,Republican,GOV,Governor,CIT,Citrus,999,999.0,41,41,Scott,Carroll,/,29925,2010,General,general,General,2619335.0,2619335.0,1,5359735,29925.0,54808
9,11/2/2010,REP,Republican,GOV,Governor,CLA,Clay,999,999.0,64,64,Scott,Carroll,/,44547,2010,General,general,General,2619335.0,2619335.0,1,5359735,44547.0,63667
10,11/2/2010,REP,Republican,GOV,Governor,CLL,Collier,999,999.0,94,94,Scott,Carroll,/,66960,2010,General,general,General,2619335.0,2619335.0,1,5359735,66960.0,102833
11,11/2/2010,REP,Republican,GOV,Governor,CLM,Columbia,999,999.0,25,25,Scott,Carroll,/,11089,2010,General,general,General,2619335.0,2619335.0,1,5359735,11089.0,18905
12,11/2/2010,REP,Republican,GOV,Governor,DES,DeSoto,999,999.0,15,15,Scott,Carroll,/,3667,2010,General,general,General,2619335.0,2619335.0,1,5359735,3667.0,6906
13,11/2/2010,REP,Republican,GOV,Governor,DIX,Dixie,999,999.0,10,10,Scott,Carroll,/,2810,2010,General,general,General,2619335.0,2619335.0,1,5359735,2810.0,5239
14,11/2/2010,REP,Republican,GOV,Governor,DUV,Duval,999,999.0,256,256,Scott,Carroll,/,135074,2010,General,general,General,2619335.0,2619335.0,1,5359735,135074.0,261785
15,11/2/2010,REP,Republican,GOV,Governor,ESC,Escambia,999,999.0,90,90,Scott,Carroll,/,54607,2010,General,general,General,2619335.0,2619335.0,1,5359735,54607.0,95916
16,11/2/2010,REP,Republican,GOV,Governor,FLA,Flagler,999,999.0,35,35,Scott,Carroll,/,17711,2010,General,general,General,2619335.0,2619335.0,1,5359735,17711.0,33476
17,11/2/2010,REP,Republican,GOV,Governor,FRA,Franklin,999,999.0,8,8,Scott,Carroll,/,1938,2010,General,general,General,2619335.0,2619335.0,1,5359735,1938.0,4061
18,11/2/2010,REP,Republican,GOV,Governor,GAD,Gadsden,999,999.0,25,25,Scott,Carroll,/,4324,2010,General,general,General,2619335.0,2619335.0,1,5359735,4324.0,16698
19,11/2/2010,REP,Republican,GOV,Governor,GIL,Gilchrist,999,999.0,10,10,Scott,Carroll,/,3321,2010,General,general,General,2619335.0,2619335.0,1,5359735,3321.0,5382
20,11/2/2010,REP,Republican,GOV,Governor,GLA,Glades,999,999.0,13,13,Scott,Carroll,/,1616,2010,General,general,General,2619335.0,2619335.0,1,5359735,1616.0,2785
21,11/2/2010,REP,Republican,GOV,Governor,GUL,Gulf,999,999.0,9,9,Scott,Carroll,/,2960,2010,General,general,General,2619335.0,2619335.0,1,5359735,2960.0,5036
22,11/2/2010,REP,Republican,GOV,Governor,HAM,Hamilton,999,999.0,8,8,Scott,Carroll,/,1919,2010,General,general,General,2619335.0,2619335.0,1,5359735,1919.0,3991
23,11/2/2010,REP,Republican,GOV,Governor,HAR,Hardee,999,999.0,12,12,Scott,Carroll,/,3116,2010,General,general,General,2619335.0,2619335.0,1,5359735,3116.0,5220
24,11/2/2010,REP,Republican,GOV,Governor,HEN,Hendry,999,999.0,23,23,Scott,Carroll,/,3551,2010,General,general,General,2619335.0,2619335.0,1,5359735,3551.0,6517
25,11/2/2010,REP,Republican,GOV,Governor,HER,Hernando,999,999.0,57,57,Scott,Carroll,/,30056,2010,General,general,General,2619335.0,2619335.0,1,5359735,30056.0,58325
26,11/2/2010,REP,Republican,GOV,Governor,HIG,Highlands,999,999.0,25,25,Scott,Carroll,/,17171,2010,General,general,General,2619335.0,2619335.0,1,5359735,17171.0,29847
27,11/2/2010,REP,Republican,GOV,Governor,HIL,Hillsborough,999,999.0,380,380,Scott,Carroll,/,148429,2010,General,general,General,2619335.0,2619335.0,1,5359735,148429.0,317566
28,11/2/2010,REP,Republican,GOV,Governor,HOL,Holmes,999,999.0,8,8,Scott,Carroll,/,4067,2010,General,general,General,2619335.0,2619335.0,1,5359735,4067.0,6054
