,election_year,election_type,Candidate Name,CanNameLast,CanNameFirst,Party,Office,District,Candidate_expenditure,Race_expenditure,Won_general,Place_general,VoteShare_general,TotalCanVotes_general,RaceVoterPool_general,Won_primary,Place_primary,VoteShare_primary,TotalCanVotes_primary,RaceVoterPool_primary,Won_runoff,Place_runoff,VoteShare_runoff,TotalCanVotes_runoff,RaceVoterPool_runoff
277,2024,General,"Madden, Ginger Bowden",Madden,Ginger Bowden,REP,STA,1,14500.0,14500.0,,,,,,,,,,,,,,,
153,2024,General,"Campbell, Jack ",Campbell,Jack ,DEM,STA,2,77225.0,77225.0,,,,,,,,,,,,,,,
406,2024,General,"Durrett, John F",Durrett,John F,REP,STA,3,300.0,300.0,,,,,,,,,,,,,,,
251,2024,General,"Nelson, Melissa ",Nelson,Melissa ,REP,STA,4,23150.0,23150.0,,,,,,,,,,,,,,,
100,2024,General,"Gladson, William ""Bill"" M.",Gladson,"William ""Bill"" M.",REP,STA,5,111403.78,111403.78,,,,,,,,,,,,,,,
259,2024,General,"Bartlett, Bruce ",Bartlett,Bruce ,REP,STA,6,19290.1,19290.1,,,,,,,,,,,,,,,
232,2024,General,"Larizza, R.J. ",Larizza,R.J. ,REP,STA,7,31200.0,31200.0,,,,,,,,,,,,,,,
20,2024,General,"Kramer, Brian ",Kramer,Brian ,REP,STA,8,315072.95,377259.04000000004,,,,,,,,,,,,,,,
170,2024,General,"Pierre-Antoine, Yvens ",Pierre-Antoine,Yvens ,DEM,STA,8,62186.09,377259.04000000004,,,,,,,,,,,,,,,
146,2024,General,"Hyman, Seth ",Hyman,Seth ,REP,STA,9,81592.94,482285.38,,,,,,1.0,1.0,0.6235303858254678,37655.0,60390.0,,,,,
274,2024,General,"Feiter, Thomas ",Feiter,Thomas ,REP,STA,9,15185.48,482285.38,,,,,,0.0,2.0,0.37646961417453223,22735.0,60390.0,,,,,
150,2024,General,"Bain, Andrew ",Bain,Andrew ,NPA,STA,9,77947.07,482285.38,,,,,,,,,,,,,,,
21,2024,General,"Worrell, Monique ",Worrell,Monique ,DEM,STA,9,307559.89,482285.38,,,,,,,,,,,,,,,
48,2024,General,"Haas, Brian ",Haas,Brian ,REP,STA,10,186210.33,186210.33,,,,,,,,,,,,,,,
6,2024,General,"Fernandez Rundle, Katherine ",Fernandez Rundle,Katherine ,DEM,STA,11,552402.93,552402.93,,,,,,,,,,,,,,,
161,2024,General,"Brodsky, Ed ",Brodsky,Ed ,REP,STA,12,69250.0,69250.0,,,,,,,,,,,,,,,
4,2024,General,"Lopez, Suzy ",Lopez,Suzy ,REP,STA,13,601181.07,1146479.08,,,,,,,,,,,,,,,
10,2024,General,"Warren, Andrew H.",Warren,Andrew H.,DEM,STA,13,513272.01,1146479.08,,,,,,1.0,1.0,0.703023680464695,48896.0,69551.0,,,,,
229,2024,General,"Martinez Strauss, Elizabeth ",Martinez Strauss,Elizabeth ,DEM,STA,13,32026.0,1146479.08,,,,,,0.0,2.0,0.296976319535305,20655.0,69551.0,,,,,
50,2024,General,"Basford, Larry ",Basford,Larry ,REP,STA,14,181930.0,202018.83000000002,,,,,,1.0,1.0,0.7371753275224048,42033.0,57019.0,,,,,
257,2024,General,"Garmon, Eric ",Garmon,Eric ,REP,STA,14,20088.83,202018.83000000002,,,,,,0.0,2.0,0.26282467247759517,14986.0,57019.0,,,,,
39,2024,General,"Stern, Sam ",Stern,Sam ,REP,STA,15,211612.68,1014769.55,,,,,,1.0,1.0,0.6282049286236904,40354.0,64237.0,,,,,
247,2024,General,"Freedman, Forrest ",Freedman,Forrest ,REP,STA,15,24461.0,1014769.55,,,,,,0.0,2.0,0.3717950713763096,23883.0,64237.0,,,,,
248,2024,General,"Farkas, Adam ",Farkas,Adam ,NPA,STA,15,23627.9,1014769.55,,,,,,,,,,,,,,,
19,2024,General,"Cox, Alexcia ",Cox,Alexcia ,DEM,STA,15,318901.89,1014769.55,,,,,,1.0,1.0,0.6432296615358628,60928.0,94722.0,,,,,
27,2024,General,"Williams, Craig ",Williams,Craig ,DEM,STA,15,273305.0,1014769.55,,,,,,0.0,3.0,0.17310656447287853,16397.0,94722.0,,,,,
112,2024,General,"Lerman, Gregg S.",Lerman,Gregg S.,DEM,STA,15,101396.08,1014769.55,,,,,,0.0,2.0,0.18366377399125863,17397.0,94722.0,,,,,
172,2024,General,"Silva, Rolando ",Silva,Rolando ,DEM,STA,15,61465.0,1014769.55,,,,,,,,,,,,,,,
51,2024,General,"Pryor, Harold Fernandez",Pryor,Harold Fernandez,DEM,STA,17,181490.0,181490.0,,,,,,,,,,,,,,,
157,2024,General,"Scheiner, William ",Scheiner,William ,REP,STA,18,70826.0,73556.0,,,,,,,,,,,,,,,
369,2024,General,"Cusmano, Christopher Jason",Cusmano,Christopher Jason,REP,STA,18,2730.0,73556.0,,,,,,,,,,,,,,,
245,2024,General,"Bakkedahl, Tom ",Bakkedahl,Tom ,REP,STA,19,25000.0,25000.0,,,,,,,,,,,,,,,
47,2024,General,"Salzman, Michelle ",Salzman,Michelle ,REP,STR,1,187167.54,193416.94,,,,,,,,,,,,,,,
326,2024,General,"Mathis, Franscine C.",Mathis,Franscine C.,DEM,STR,1,6249.4,193416.94,,,,,,,,,,,,,,,
160,2024,General,"Andrade, Alex ",Andrade,Alex ,REP,STR,2,69584.46,126234.11,,,,,,,,,,,,,,,
237,2024,General,"Kline, Kim ",Kline,Kim ,NPA,STR,2,29317.51,126234.11,,,,,,,,,,,,,,,
241,2024,General,"Morrissette, Haley ""Hale""",Morrissette,"Haley ""Hale""",DEM,STR,2,27332.14,126234.11,,,,,,,,,,,,,,,
72,2024,General,"Rudman, Joel ",Rudman,Joel ,REP,STR,3,142251.54,145208.93000000002,,,,,,,,,,,,,,,
364,2024,General,"Gillum, Keith Ellis",Gillum,Keith Ellis,DEM,STR,3,2957.39,145208.93000000002,,,,,,,,,,,,,,,
152,2024,General,"Maney, Patt ",Maney,Patt ,REP,STR,4,77280.43,77280.43,,,,,,,,,,,,,,,
92,2024,General,"Abbott, Shane ",Abbott,Shane ,REP,STR,5,118083.79,125203.60999999999,,,,,,,,,,,,,,,
318,2024,General,"Leonard, Stephanie Lyn ",Leonard,Stephanie Lyn ,DEM,STR,5,7119.82,125203.60999999999,,,,,,,,,,,,,,,
131,2024,General,"Griffitts, Griff ",Griffitts,Griff ,REP,STR,6,88714.39,91619.39,,,,,,,,,,,,,,,
366,2024,General,"Wyche, Jerry ",Wyche,Jerry ,DEM,STR,6,2905.0,91619.39,,,,,,,,,,,,,,,
132,2024,General,"Shoaf, Jason ",Shoaf,Jason ,REP,STR,7,88099.96,91863.96,,,,,,,,,,,,,,,
350,2024,General,"Beasley, Kenny ",Beasley,Kenny ,DEM,STR,7,3764.0,91863.96,,,,,,,,,,,,,,,
316,2024,General,"Glass, Grace ",Glass,Grace ,REP,STR,8,7134.21,93978.89,,,,,,,,,,,,,,,
134,2024,General,"Franklin, Gallop P.",Franklin,Gallop P.,DEM,STR,8,86844.68,93978.89,,,,,,,,,,,,,,,
209,2024,General,"Brass, Spencer ",Brass,Spencer ,REP,STR,9,40045.79,672968.4600000001,,,,,,,,,,,,,,,
2,2024,General,"Tant, Allison ",Tant,Allison ,DEM,STR,9,632922.67,672968.4600000001,,,,,,,,,,,,,,,
191,2024,General,"Brannan, Chuck ",Brannan,Chuck ,REP,STR,10,51614.8,53931.18,,,,,,,,,,,,,,,
379,2024,General,"Brady, Robert  ""Bobby"" J.",Brady,"Robert  ""Bobby"" J.",DEM,STR,10,2316.38,53931.18,,,,,,,,,,,,,,,
149,2024,General,"Garrison, Sam ",Garrison,Sam ,REP,STR,11,78908.32,81430.86,,,,,,,,,,,,,,,
372,2024,General,"Browne, Charlie ",Browne,Charlie ,DEM,STR,11,2522.54,81430.86,,,,,,,,,,,,,,,
75,2024,General,"Duggan, Wyman ",Duggan,Wyman ,REP,STR,12,138209.15,141917.38999999998,,,,,,,,,,,,,,,
352,2024,General,"Sandlin, Benjamin Frierson",Sandlin,Benjamin Frierson,DEM,STR,12,3708.24,141917.38999999998,,,,,,,,,,,,,,,
136,2024,General,"Nixon, Angie ",Nixon,Angie ,DEM,STR,13,86620.5,101732.26,,,,,,1.0,1.0,0.809785059371712,10775.0,13306.0,,,,,
275,2024,General,"Priestly Jackson, Brenda A.",Priestly Jackson,Brenda A.,DEM,STR,13,15111.76,101732.26,,,,,,0.0,2.0,0.190214940628288,2531.0,13306.0,,,,,
